,site,job_url,title,company,date_posted,job_type,interval,min_amount,max_amount,currency,description
0,google,https://www.linkedin.com/jobs/view/quantitative-researcher-execution-at-sartre-group-4218706011?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Quantitative Researcher - Execution,Sartre Group,2025-04-27,Quantitative Analyst/Researcher,,,,,"Quantitative Researcher - Execution

An opportunity within a tier one hedge fund to join a global team specializing in all aspects of quantitative research for fundamental equity execution strategies. The team is responsible for developing and optimizing algorithmic strategies for electronic execution of equity markets.

As a Quantitative Researcher, the successful candidate will have with a strong background in developing execution trading algorithms with a deep understanding of trading dynamics, quantitative modeling, and algorithmic strategy development, with expertise equity markets.

Key Responsibilities:
• Design, develop, and optimize execution trading algorithms for equity markets.
• Analyze market microstructure in equity markets, understanding order placement methodologies, routing, market impact, and transaction cost analysis.
• Conduct research to identify market signals that can enhance trading strategies and improve execution.
• Build and implement advanced quantitative models to guide trading decisions.
• Conduct rigorous backtesting and evaluation of execution algorithms and trading strategies to assess their effectiveness and profitability across various market conditions.

Qualifications:
• Master's or Ph.D. in a quantitative field such as Mathematics, Physics, Computer Science, Financial Engineering, or Statistics.
• Proven experience in quantitative research or algorithmic trading, with a focus on execution algorithms.
• Strong proficiency in programming languages such as Python or C++.
• In-depth understanding of quantitative methods, including statistical analysis, time series analysis, regression, and model calibration.

A generous total compensation package is on offer with strong progression opportunities. This is an urgent requirement and the firm are looking for the successful candidate to start asap."
1,google,https://www.linkedin.com/jobs/view/portfolio-and-quantitative-analytics-analyst-at-lazard-asset-management-4216660037?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Portfolio and Quantitative Analytics Analyst,Lazard Asset Management,2025-04-27,Quantitative Analyst/Researcher,yearly,85000,105000,USD,"Americas

Asset Management

New York

Lazard is one of the world’s leading financial advisory and asset management firms. Our people make the difference. With just over 3,000 employees, our tight-knit community allows for professionals eager to learn and willing to teach to connect and grow together. We believe that diversity, equity, inclusion, and allyship are not just business imperatives — they are central pillars of our employee experience. Our entrepreneurial culture and flat structure allow creative ideas and original concepts to drive our business forward — and for careers to take flight.

Lazard Wealth (LW), LAM’s wealth management business, collaborates with our clients to help solve and simplify the complexities of wealth, while delivering sophisticated investment solutions and advice. We combine years of history and experience to help preserve and grow our clients’ wealth across generations. The principal areas of focus with clients are strategic advice and planning, investment management and direct private investments. Working in partnership with families, we customize an investment process that meets their specific needs.

We are seeking a Portfolio & Quantitative Analytics Analyst to play a critical role in supporting and overseeing risk management functions within our firm. You will be responsible for developing and implementing effective risk management strategies, models, reports, and procedures across client portfolios, market research, and technology solutions.

We’ll trust you to:
• Utilize and assist in the development and maintenance of risk models and tools to identify and monitor portfolio risk factors, stress test portfolios, and ensure compliance with risk management guidelines.
• Proactively monitor market conditions and perform scenario analysis to assess potential impacts on portfolio risk exposures and recommend necessary adjustments.
• Observe and contribute to portfolio and investment decisions; contribute to the development of investment strategies, asset allocation models, and risk management frameworks, incorporating quantitative research insights.
• Become proficient in statistical techniques and quantitative models to assess portfolio and investment risk, estimate potential returns, and optimize portfolio construction in order to deliver performance attribution analysis, factor-based exposures, and portfolio optimization.
• Stay updated on the latest industry trends and research advancements in risk management, quantitative analysis, and portfolio construction methodologies.
• Collaborate with other groups within the Firm to offer quantitative support and industry specific input.
• Support the Investment Team with quantitative research and analysis of investment opportunities across various asset classes, including equities, fixed income, and alternative investments with a strong focus on risk management and portfolio construction.
• Evaluate and implement risk management techniques, such as hedging strategies, derivatives, and asset allocation adjustments to mitigate portfolio risks and enhance risk-adjusted returns.

You’ll need to have:
• 2-4 years’ experience in a risk management, analytical, or quantitative role, particularly within the asset allocator and wealth management space.
• A Bachelor's degree in finance, economics, mathematics, statistics, or a related field. Advanced degree (e.g., MBA, MSc) with a focus on quantitative finance or risk management is preferred.
• Understanding of risk management principles, quantitative modeling techniques, and statistical analysis.
• Experience using programming languages such as Python, R, and MATLAB for quantitative research, data analysis, model implementation and creation of interactive dashboards.
• Ability to access, manipulate, and clean large data sets from various databases and sources.
• Experience with risk modeling software, quantitative analytics platforms, and market data providers (e.g. Bloomberg).
• Familiarity with risk measurement methodologies (e.g., VaR, stress testing, factor analysis) and risk management frameworks (e.g., risk budgeting, risk-adjusted performance metrics).
• Baseline knowledge of financial derivatives, options pricing models, and portfolio optimization techniques.
• Excellent problem-solving and critical-thinking skills, with the ability to analyze complex data sets and draw meaningful insights.
• Strong communication and presentation skills, with the ability to explain quantitative concepts to non-technical stakeholders.
• A strong interest in working on a wide range of problems related to diverse asset classes and investment strategies. Understanding or interest in learning about alternative asset classes.
• Professional certifications such as FRM, CQF, or CFA are desirable.

What We Offer:

We expect the base salary range for this role to be approximately $85,000 – 105,000 USD. Various factors contribute to determining the actual base compensation offered, including but not limited to the applicant’s years of relevant experience, career tenure, qualifications, level of education attained, certifications or other professional licenses held, relevant skills for the role. Base salary is one component of Lazard Asset Management’s compensation package, which also includes comprehensive benefits and may include incentive compensation.

Does this sound like you?

Apply! We’ll get in touch on the next steps.

Inclusion at Lazard

Lazard is an intellectual capital business focused on delivering the best advice and solutions to clients. Achieving these objectives requires us to identify, develop and retain the best talent. A workforce comprised of people with varied backgrounds and experiences creates a rich diversity of thought that empowers us to challenge conventional wisdom, as diverse perspectives lead to better decisions.

Our appreciation of diversity’s strength is ingrained in our multicultural heritage. As a global firm that has grown organically from local roots in different countries, we have a deep tradition of respect for individual differences, which has been core to our success for 175 years.

The ongoing cultivation of an inclusive culture are essential to our continued growth. We are committed to sustaining an environment in which all employees – regardless of socioeconomic status, race, ethnicity, nationality, religion, gender, gender expression, sexual orientation, physical abilities, veteran or military status – can maximize their individual potential, as well as our collective success.

#LAM"
2,google,https://www.linkedin.com/jobs/view/quant-research-development-at-orbis-inc-4217949013?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Quant - Research & Development,Orbis Inc,2025-04-25,Quantitative Analyst/Researcher,yearly,200000,250000,USD,"We are working with a Crypto Trading start-up looking to bring on a Quantitative Analyst with experience across both Research and Development.
• Circa 3 years of work experience within the industry with prior experience working on mid to high frequency trading strategies
• Advanced degree (M.S. or Ph.D.) in a highly quantitative field (Mathematics, Physics, CS, Engineering)
• Strong numerical programming skills, including proficiency in Python for data analysis and machine learning
• Experience with Python & C++

This position can support relocation and visa sponsorship, we are looking for the best individuals regardless of their backgrounds and challenges.

$200-250k + equity scheme

Required

Preferred

Job Industries
• Other"
3,google,https://www.indeed.com/viewjob?jk=3f3bf325b4b1a467&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Quantitative Researcher - Machine Learning,Point72,2025-04-25,Quantitative Analyst/Researcher,yearly,200000,300000,USD,"EXPERIENCE

Early Career

LOCATION

New York

FOCUS

Systematic Investing

BUSINESS

Cubist

About Cubist

Cubist Systematic Strategies, an affiliate of Point72, deploys systematic, computer-driven trading strategies across multiple liquid asset classes, including equities, futures and foreign exchange. The core of our effort is rigorous research into a wide range of market anomalies, fueled by our unparalleled access to a wide range of publicly available data sources.

Role/Responsibilities:

We are seeking a quantitative researcher for the Cubist Machine Learning Research group with experience in machine learning, especially recent deep learning and natural language processing technology.

Researchers will use a rigorous scientific method to develop sophisticated trading models and shape our insights into how the markets will behave. Successful researchers manage all aspects of the research process including data ingestion and processing, data analysis, methodology selection, implementation and testing, prototyping, and performance evaluation.

Researchers will be introduced to industry standard datasets, including understanding which data may be relevant to a certain model or financial problem; how to collect, parse, and clean the data; how to incorporate the data into innovative functional models; how to construct and develop features from raw data; and how to estimate effectiveness of such features.

Researchers will also be provided with the opportunity to implement the full breadth of their knowledge and training to actively participate in all stages of research & development of financial models through use of machine learning. Based on experience from working with existing industry-standard models and algorithms, researchers will learn how to construct their own models in order to solve complex financial problems and enhance data prediction capabilities within the financial services industry.

Requirements:
• PhD or PhD candidate in machine learning, computer science, statistics, or a related field
• Experience with sequential modeling and time series forecasting using deep learning
• Experience with deep neural networks and representation learning
• Prior experience working in a data driven research environment
• Experience with translating mathematical models and algorithms into code
• Proficient in programming languages such as Python and R
• Experience with machine learning software libraries such as TensorFlow or PyTorch
• Experience with natural language processing technology a strong plus
• Excellent analytical skills, with strong attention to detail
• Interest in applying machine learning to finance
• Collaborative mindset with strong independent research ability
• Strong written and verbal communication skills

The annual base salary range for this role is $200,000-$300,000 (USD) , which does not include discretionary bonus compensation or our comprehensive benefits package. Actual compensation offered to the successful candidate may vary from posted hiring range based upon geographic location, work experience, education, and/or skill level, among other things."
4,google,https://builtin.com/job/quantitative-research-analyst-2025-university-graduate-us/3408111?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Quantitative Research Analyst  - 2025 University Graduate (US),Citadel,2025-04-23,Quantitative Analyst/Researcher,,,,,"Job Description
Our mission is to be the most successful investment team in the world. Quantitative Researcher Analysts play a key role in this mission by developing next-generation models and trading approaches for a range of investment strategies. You'll get to challenge the impossible in quantitative research by applying sophisticated and complex statistical techniques to financial markets, some of the most complex data sets in the world.
Your Objectives
• Conceptualize valuation strategies, develop, and continuously improve upon mathematical models and help translate algorithms into code
• Back test and implement trading models and signals in a live trading environment
• Use unconventional data sources to drive innovation
• Conduct research and statistical analysis to build and refine monetization systems for trading signals

Your Skills & Talents
• Bachelor's or master's degree in mathematics, statistics, physics, computer science, or another highly quantitative field
• Strong knowledge of probability and statistics (e.g., machine learning, time-series analysis, pattern recognition, NLP)
• Prior experience working in a data driven research environment
• Experience with translating mathematical models and algorithms into code (Python, R or C++)
• Independent research experience
• Ability to manage multiple tasks and thrive in a fast-paced team environment
• Excellent analytical skills, with strong attention to detail
• Strong written and verbal communication skills

Opportunities available in Chicago, Miami, New York.
In accordance with applicable law, the base salary range for this role is $225,000 to $300,000.
In addition, the employee who fills this role will be eligible to participate in a discretionary incentive compensation program,
as well as a wide array of benefit programs, such as medical and life insurance, retirement and tax-free savings plans,
and access to other healthcare programs.
About Citadel
Citadel is one of the world's leading alternative investment managers. We manage capital on behalf of many of the world's preeminent private, public and nonprofit institutions. We seek the highest and best use of investor capital in order to deliver market leading results and contribute to broader economic growth. For over 30 years, Citadel has cultivated a culture of learning and collaboration among some of the most talented and accomplished investment professionals, researchers and engineers in the world. Our colleagues are empowered to test their ideas and develop commercial solutions that accelerate their growth and drive real impact."
5,google,https://www.builtinnyc.com/job/data/quantitative-researcher-quantitative-research-analyst/856773?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Quantitative Researcher / Quantitative Research Analyst,Citadel Securities,2025-04-22,Quantitative Analyst/Researcher,,,,,"Job Description
Role Summary
At Citadel Securities, a leading global market maker, our team of quantitative researchers models the markets and brings trading strategies to life every day. Specifically, this team develops and tests automated quant trading strategies using sophisticated statistical techniques. We're looking for an extraordinary quantitative researcher who is committed to our core values that include winning, acting with integrity, continuously learning, and cultivating a meritocracy.
Opportunities may be available from time to time in any location in which the business is based for suitable candidates. If you are interested in a career with Citadel, please share your details and we will contact you if there is a vacancy available.
Objectives
• Conduct research and statistical analyses in the evaluation of securities
• Work with large data sets, including unconventional data sources, to predict and test statistical market patterns
• Conceptualize valuation strategies, develop and continuously improve mathematical models, and translate algorithms into code
• Back test and implement trading models and signals in a live trading environment

Skills and Preferred Qualifications
• Advanced training in mathematics, statistics, physics, computer science, or another highly quantitative field
• Proficiency in probability & statistics (e.g. time-series analysis, machine learning, pattern recognition, NLP)
• Prior experience working in a data driven research environment
• Hands on programming experience in scripting (e.g. Python), analytical packages (e.g. R, Matlab) and/or compiled languages (e.g. C++)
• A background demonstrating strong analytical problem solving skills
• An ability to communicate advanced concepts in a concise and logical way
• Proficiency in creating and using algorithms to meticulously investigate and work through large data or error-checking problems

In accordance with applicable law, the base salary range for this role is $250,000 to $350,000.
In addition, the employee who fills this role will be eligible to participate in a discretionary incentive compensation program,
as well as a wide array of benefit programs, such as medical and life insurance, retirement and tax-free savings plans,
and access to other healthcare programs.
About Citadel Securities
Citadel Securities is the next-generation capital markets firm and a leading global market maker. We provide institutional and retail investors with the liquidity they need to trade a broad array of equity and fixed income products in any market condition. The brightest minds in finance, science and technology use powerful, advanced analytics to solve the market's most critical challenges, turning big ideas into real-world outcomes."
6,google,https://careers.blackrock.com/job/new-york/quantitative-analyst-model-governance-associate/45831/76641724464?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Quantitative Analyst, Model Governance, Associate",BlackRock,2025-04-21,Quantitative Analyst/Researcher,,,,,"About this role

BlackRock is one of the world’s preeminent asset management firms and a premier provider of global investment management, risk management and advisory services to institutional, intermediary, and individual investors around the world. BlackRock’s mission is to create a better financial future for our clients. We have a responsibility to be the voice of the investor, and we represent each client fairly and equally. Constant communication with a diverse team of partners strengthens us and delivers better results for our clients. Continuous innovation helps us bring the best of BlackRock to our clients. BlackRock offers a range of solutions — from rigorous fundamental and quantitative active management approaches aimed at maximizing outperformance to highly efficient indexing strategies designed to gain broad exposure to the world’s capital markets. Our clients can access our investment solutions through a variety of product structures, including individual and institutional separate accounts, mutual funds and other pooled investment vehicles, and the industry-leading iShares® ETFs.

Who We Are

Quantitative Modeling and Research (QMR) is an innovative team within Single Security Pricing (SSP) area. We specialize in crafting sophisticated risk and valuation models that span a diverse range of products, including interest rates, FX, inflation, equity, and credit. Our mission goes beyond traditional quantitative models; we are at the forefront of exploring novel modeling techniques, such as neural networks, to tackle complex problems in quantitative finance.

What makes working on the team both challenging and rewarding:
• Focus on business: We do not solve the math problem – we solve the business problem!
• Breadth of product coverage: We support both BlackRock with over $11T AUM and Aladdin clients with trillions more. This is a tremendous breadth of products we need to cover.
• Excellence in modeling and coding: We pride ourselves both on building great models and writing high quality code.
• Collaborative environment: We have a lot of smart people on the team. Working here is a great chance to both learn and to teach others.

Job Responsibilities
• Model Governance: work on the research and development of a model surveillance and model performance framework for the Single Securities Pricing Team (SSP), primarily focused on interest rate derivative models.
• Responsibilities will include implementation and maintenance of the model surveillance and performance monitoring infrastructure for the models supported by the team.
• Enhance model documentation for a suite of pricing models supported by the team.
• Collaborate with the second line validation team in all aspects of model validation and compliance.
• Thought Leadership: keep abreast of recent trends in quantitative finance, capital markets and government regulation. Bring the latest techniques to bear on the problems we face in our day-to-day work.
• Closely collaborate with model owners to enhance the models based on findings.

Qualifications
• An undergraduate degree in a quantitative field such as Math, CS, Engineering or Physics is required. An advanced degree is a plus, but understanding of modeling is more important than formal qualifications.
• Understanding of Fixed Income valuation and modelling concepts including but not limited to yield curve contraction techniques, risk-neutral pricing framework, and routes to calibrate the stochastic models.
• Coding is at the heart of everything we do. Expertise in Python and familiarity with C++ is needed. You are expected to have the expertise to develop Python applications leveraging in-house Python/C++ libraries.
• An Analytical Frame of Mind: keen interest in solving analytical problems is key.
• Excellent Communication Skills: you will be interacting with other teams in the firm. The ability to explain your research and results to your non-technical counterparts in terms that they can follow is important.

BlackRock is proud to be an Equal Opportunity and Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, national origin, religion, sex, disability, veteran status, and other statuses protected by law.

For New York, NY Only the salary range for this position is USD$132,500.00 - USD$162,000.00 . Additionally, employees are eligible for an annual discretionary bonus, and benefits including heath care, leave benefits, and retirement benefits. BlackRock operates a pay-for-performance compensation philosophy and your total compensation may vary based on role, location, and firm, department and individual performance.

Our benefits

To help you stay energized, engaged and inspired, we offer a wide range of benefits including a strong retirement plan, tuition reimbursement, comprehensive healthcare, support for working parents and Flexible Time Off (FTO) so you can relax, recharge and be there for the people you care about.

Our hybrid work model

BlackRock’s hybrid work model is designed to enable a culture of collaboration and apprenticeship that enriches the experience of our employees, while supporting flexibility for all. Employees are currently required to work at least 4 days in the office per week, with the flexibility to work from home 1 day a week. Some business groups may require more time in the office due to their roles and responsibilities. We remain focused on increasing the impactful moments that arise when we work together in person – aligned with our commitment to performance and innovation. As a new joiner, you can count on this hybrid model to accelerate your learning and onboarding experience here at BlackRock.

About BlackRock

At BlackRock, we are all connected by one mission: to help more and more people experience financial well-being. Our clients, and the people they serve, are saving for retirement, paying for their children’s educations, buying homes and starting businesses. Their investments also help to strengthen the global economy: support businesses small and large; finance infrastructure projects that connect and power cities; and facilitate innovations that drive progress.

This mission would not be possible without our smartest investment – the one we make in our employees. It’s why we’re dedicated to creating an environment where our colleagues feel welcomed, valued and supported with networks, benefits and development opportunities to help them thrive.

For additional information on BlackRock, please visit @blackrock | Twitter: @blackrock | LinkedIn: www.linkedin.com/company/blackrock

BlackRock is proud to be an equal opportunity workplace. We are committed to equal employment opportunity to all applicants and existing employees, and we evaluate qualified applicants without regard to race, creed, color, national origin, sex (including pregnancy and gender identity/expression), sexual orientation, age, ancestry, physical or mental disability, marital status, political affiliation, religion, citizenship status, genetic information, veteran status, or any other basis protected under applicable federal, state, or local law. View the EEOC’s Know Your Rights poster and its supplement and the pay transparency statement.

BlackRock is committed to full inclusion of all qualified individuals and to providing reasonable accommodations or job modifications for individuals with disabilities. If reasonable accommodation/adjustments are needed throughout the employment process, please email Disability.Assistance@blackrock.com. All requests are treated in line with our privacy policy.

BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law."
7,google,https://www.indeed.com/viewjob?jk=d51fa378b5b472c7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Analyst, Quantitative Research",Hall and Partners,2025-04-16,Quantitative Analyst/Researcher,yearly,65000,75000,USD,"The Analyst contributes to projects that deliver fresh insight to get to the heart of client questions, shaping their brand strategy and marketing action.

Who we are

Hall & Partners is a team of unconventional thinkers, obsessed with how marketing influences the relationship between people, brands and culture. Born out of ad land, we are the insight agency known for weaving creativity with science.

We distil data through a strategic lens to reveal ‘uncommon insights’ – human truths tailored to individual brands, not black box data available to the masses. We partner with clients to shape brand strategy and optimize brand and campaign performance. Our award-winning approach amplifies insights across every business area, propelling marketing decision-making to create an unmatched competitive advantage.

For more information, visit www.hallandpartners.com.

Role
We have an exciting opportunity for an Analyst to join our quantitative team. You’ll be working across a portfolio of accounts that range in size and complexity, involved in the day-to-day execution of insights projects and running analyses that shape decision making for leading brands. We’d love someone with a passion for understanding people, brands and marketing, and a keen interest to expand their skills in all types of research techniques and solutions. You’ll need to have strong attention to detail and excellent organizational skills to respond to a wide range of requests and challenges.

Location – New York (Hybrid role - 1 - 2 days in office)

The salary range for this position is $65,000 - $75,000. If this is not the right range for you, please check out our other opportunities.

Responsibilities:
• The Analyst, Quantitative Insight contributes to projects that deliver fresh insight to get to the heart of client questions, shaping their brand strategy and marketing action
• You will build positive day-to-day client relationships, anticipating and addressing project needs. You are curious and ask the right questions, immersing yourself in our clients business and contributing to work that delivers insight that has an impact on client decision making.
• As an Analyst you will build knowledge of the breadth of work we do for our clients and what else we could do for them, proactively sharing ideas for new opportunities with the team.
• You will develop your research skills in areas such as questionnaire design, data checking, and use of data analysis packages. You will grow a good understanding of analysis and analytics techniques and different data and insight sources, including primary/survey and non-survey data. You will work with the team to run insights projects from start to finish, managing timelines, and ensuring accuracy of data and deliverables.
• As an Analyst you are an active contributor – you manage the day-to-day running of projects, building strong working relationships with other team members and suppliers/vendors, and coming to the team with solutions as well as questions.
• The Hall & Partner values are all about being Creative, Curious, Courageous and Collaborative, all grounded in a strong Community. We expect all our people to demonstrate and work by these values every day.

Qualifications:
• Must have a Bachelor degree in a related field. We are open to a variety of backgrounds including people with a passion for marketing, analytics, digital, social media, mobile, semiotics, human behavior and psychology.
• Must have academic and/or practical experience with survey or market research methodologies
• This role will use a Dynata software product called MarketSight to analyze data. Prior experience with a similar data analysis software is highly preferred (e.g. SPSS, or Qualtrics).
• Strong attention to details.
• Strong time management skills.
• Strong presentation skills.
• Highly motivated and driven, with a hunger to learn and grow.
• Able to travel occasionally as the job requires.

What we offer you

We believe we have a unique culture. It’s a difficult thing to put into words but it’s all about being challenging yet treating each other with respect. We are naturally curious, and we love to learn and discover new things.

We nurture opinions and really respect people who have a point of view and aren’t afraid to share their thinking. We work as teams and responsibilities sit with everyone in that team, whatever their job title. A can-do attitude goes a long way in our business, and we don't tolerate egos!

We are passionate about helping our people to learn, stretch and grow. We want this to be a place where people feel challenged, as well as guided and supported. When you are not learning from some of the smartest people in insight, you can also take advantage of our Learn training program and attend interactive training sessions and “OutsideIn” sessions with industry experts, that build your skills for the future.

US Benefits:

We want our people to feel rewarded for the great work they do. Here are some of the benefits we offer.
• Medical, Dental, and Vision Insurance - Large carriers on a national level (domestic partner coverage included)
• 401k with Company Match – No vesting period; bi-weekly contributions
• Flexible PTO - Feel no guilt in taking off a minimum of 3 weeks of “real” vacation time
• Paid Parental Leave - 12 weeks for maternity and 6 weeks for paternity, including adoption
• 12 Paid Company Holidays
• This is a hybrid role with the expectation of working in-person in the New York office 1-2 days a week.
• Salary Range for this position is $65,000 - $75,000

Hall & Partners is an equal opportunity employer and recognize the importance of a truly diverse workforce. Our teams possess a rich mixture of talent where everyone’s contribution is encouraged and valued
We maintain an Equal Opportunities, Diversity and Anti-Harassment Policy to inform, guide and encourage equal opportunities practices within the Company. We welcome applications from individuals regardless of age, gender, ethnicity, disability, sexuality, social background, religion and/or belief."
8,google,https://www.linkedin.com/jobs/view/quantitative-researcher-single-stock-options-at-millennium-3986453590?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Quantitative Researcher, Single Stock Options",Millennium,2025-04-09,Quantitative Analyst/Researcher,,,,,"Quantitative Researcher, Single Stock Options

Millennium is a top tier global hedge fund with a strong commitment to leveraging market innovations in technology and data to deliver high-quality returns.

A fast-growing, collaborative, and entrepreneurial systematic investment team is seeking a strong single stock options quantitative researcher to join in developing new signals and strategies. This opportunity provides a dynamic and fast-paced environment with excellent opportunities for career growth.

Job Description

Quantitative Researcher as part of a fast-growing, collaborative team, with a focus on systematic equity options strategies.

Preferred Location

New York

Principal Responsibilities
• Work alongside the Senior Portfolio Manager on alpha research and development for systematic equity volatility strategies, with a primary focus on:
• Idea generation
• Data gathering and pre-processing
• Research and analysis
• Model implementation and back-testing
• Combine sound financial insights and statistical learning techniques to explore, analyze, and harness a large variety of datasets in order to build strong predictive models which will be deployed to the investment process
• Collaborate with the Senior Portfolio Manager in a transparent environment, engaging with the whole investment process

Preferred Technical Skills
• Strong research and programming skills
• Python is a must
• Experience in C++, kdb/q, SQL is a plus
• Master's or PhD degree in a quantitative subject such as Applied Mathematics, Statistics,
• Computer Science, or related field from a top-tier university
• Very strong candidates with Bachelor's degrees will also be considered
• Strong abstract reasoning and independent problem-solving skills
• Excellent communication skills

Preferred Experience
• 2-5 years of experience working in quantitative research/ quantitative trading capacity with a focus on mid-frequency linear equity/ equity options strategies
• Demonstrated ability to conduct independent and innovative signal research
• Experience in statistical arbitrage strategies is highly preferred
• Experience in options/ volatility is preferred but not a must
• Experience in machine learning is a plus
• Theoretical understanding of machine learning
• hands-on experience in building scalable machine learning pipelines for data extraction, feature engineering, model implementation, training, tuning, evaluation, and deployment.

Target Start Date
• 12 months for exceptional candidates (strong preference for candidates who can start sooner)

Millennium pays a total compensation package which includes a base salary, discretionary performance bonus, and a comprehensive benefits package. The estimated base salary range for this position is $100,000 to $200,000, which is specific to New York and may change in the future. When finalizing an offer, we take into consideration an individual’s experience level and the qualifications they bring to the role to formulate a competitive total compensation package."
9,google,https://www.linkedin.com/jobs/view/quantitative-researcher-cash-equities-at-ocr-alpha-4199542078?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Quantitative Researcher, Cash Equities",OCR Alpha,2025-04-02,Quantitative Analyst/Researcher,,,,,"OCR Alpha is partnered with a lean but high-impact, systematic fund with a stellar 10+ year track record, recently backed by one of the world's most successful multi-strat firms.

Due to a larger capital allocation, our client has an appetite to scale their trading universe globally and can offer a well-rounded view of the entire investment process, with a path to run risk.

The ideal candidate will be responsible for researching and deploying predictive signals. This includes evaluating, cleaning, and managing large datasets to predict future outcomes.

Requirements
• Minimum 4 years of professional experience in quantitative research using statistical and machine learning techniques
• Degree in a quantitative field from a top-tier university
• Proficient in writing production level code

Preferred
• Portfolio construction experience"
